id,description,amount,category
5120,Cash,28263.64,asset
5121,Sales Revenue,31872.16,income
5122,Utility Expense,92471.71,expense
5123,Marketing Expense,5716.81,expense
5124,Sales Revenue,48614.87,income
5125,Marketing Expense,91288.8,expense
5126,Accounts Payable,61075.26,liability
5127,Accounts Payable,54686.07,liability
5128,Utility Expense,25049.44,expense
5129,Accounts Payable,34393.22,liability
5130,Rent Expense,85219.64,expense
5131,Interest Income,55965.89,income
5132,Loan Payable,51522.75,liability
5133,Cash,10048.01,asset
5134,Interest Income,1701.21,income
5135,Service Income,96372.15,income
5136,Rent Expense,37760.92,expense
5137,Service Income,60360.98,income
5138,Loan Payable,8063.54,liability
5139,Tax Payable,68343.12,liability
5140,,93263.41,asset
5141,Cash,57608.96,asset
5142,Accrued Expenses,12698.92,liability
5143,Salary Expense,58213.98,expense
5144,Accrued Expenses,76658.09,liability
5145,Service Income,40701.01,income
5146,Accrued Expenses,87995.79,liability
5147,Loan Payable,64903.43,liability
5148,Accounts Payable,89934.97,liability
5149,Inventory,62388.18,asset
5150,Prepaid Expense,13215.67,asset
5151,Marketing Expense,31038.2,expense
5152,Accounts Receivable,20259.32,asset
5153,Interest Income,90891.77,income
5154,Marketing Expense,76063.97,expense
5155,Loan Payable,67672.2,liability
5156,Marketing Expense,30166.54,expense
5157,Loan Payable,18486.07,liability
5158,Inventory,75669.46,asset
5159,Tax Payable,47468.38,liability
5160,Interest Income,22656.38,income
5161,Accounts Receivable,61700.54,asset
5162,Tax Payable,4129.35,liability
5163,Cash,32684.41,asset
5164,Utility Expense,46908.84,expense
5165,Interest Income,14881.04,income
5166,Accrued Expenses,98466.98,liability
5167,Rent Expense,20988.83,expense
5168,Accounts Receivable,13122.28,asset
5169,Accrued Expenses,20433.13,liability
5170,Equipment,76929.21,asset
5171,Tax Payable,42608.02,liability
5172,Salary Expense,56585.05,expense
5173,Inventory,2198.81,asset
5174,Sales Revenue,3539.69,income
5175,Accrued Expenses,44637.97,liability
5176,Accounts Payable,81683.86,liability
5177,Accounts Receivable,88535.36,asset
5178,Cash,8761.99,asset
5179,Equipment,53882.47,asset
5180,Loan Payable,91331.65,liability
5181,Interest Income,38858.48,income
5182,Marketing Expense,82973.63,expense
5183,Tax Payable,13456.2,liability
5184,Interest Income,93545.91,income
5185,Accrued Expenses,75167.19,liability
5186,Service Income,94139.31,income
5187,Utility Expense,67694.06,expense
5188,Inventory,36404.05,asset
5189,Tax Payable,93824.3,liability
5190,,27629.12,income
5191,Service Income,33284.03,income
5192,Prepaid Expense,70110.76,asset
5193,Tax Payable,invalid,liability
5194,Service Income,92947.41,income
5195,Service Income,20559.76,income
5196,Loan Payable,79820.0,liability
5197,Service Income,73880.75,income
5198,Service Income,6473.08,income
5199,Accrued Expenses,38783.59,liability
5200,Loan Payable,28348.27,liability
5201,Tax Payable,30518.59,liability
5202,Service Income,98296.39,income
5203,Service Income,64313.46,income
5204,Accounts Payable,71795.85,liability
5205,Sales Revenue,97664.1,income
5206,Accounts Receivable,37782.46,asset
5207,Loan Payable,80203.83,liability
5208,Inventory,43509.64,asset
5209,Sales Revenue,86966.41,income
5210,Service Income,18147.69,income
5211,Interest Income,94773.85,income
5212,Inventory,21955.29,asset
5213,Accounts Receivable,32689.43,asset
5214,Utility Expense,75643.6,expense
5215,Accrued Expenses,39436.14,liability
5216,Accounts Payable,60860.32,liability
5217,Service Income,44512.89,income
5218,Accounts Payable,74262.76,liability
5219,Service Income,22910.29,income
5220,Tax Payable,5939.95,liability
5221,Accounts Payable,30062.95,liability
5222,Accounts Payable,47483.44,liability
5223,Accounts Payable,16885.2,liability
5224,Equipment,35544.25,asset
5225,Cash,40058.3,asset
5226,Prepaid Expense,5833.45,asset
5227,Tax Payable,58372.39,liability
5228,Accounts Receivable,88445.91,asset
5229,Equipment,15259.12,asset
5230,Equipment,59821.02,asset
5231,Salary Expense,66507.45,expense
5232,Loan Payable,41991.53,liability
5233,Interest Income,70139.65,income
5234,Inventory,41132.08,asset
5235,Accounts Payable,50513.27,liability
5236,Salary Expense,,expense
5237,Sales Revenue,69202.84,income
5238,Prepaid Expense,66168.13,asset
5239,Utility Expense,3936.25,expense
5240,Accounts Receivable,36888.19,asset
5241,Utility Expense,97905.28,expense
5242,Equipment,invalid,asset
5243,Loan Payable,50244.35,liability
5244,Equipment,91002.02,asset
5245,Accounts Payable,71754.46,liability
5246,Marketing Expense,invalid,expense
5247,Accounts Payable,79800.69,liability
5248,Tax Payable,86450.19,liability
5249,Accounts Payable,45743.12,liability
5250,Rent Expense,47563.33,expense
5251,Rent Expense,38666.49,expense
5252,Accrued Expenses,96673.94,liability
5253,Loan Payable,69746.91,liability
5254,Cash,8413.98,asset
5255,Sales Revenue,86309.67,income
5256,,48107.94,liability
5257,Sales Revenue,6968.52,income
5258,Marketing Expense,55016.75,expense
5259,Inventory,41774.71,asset
5260,Interest Income,87787.17,income
5261,Cash,20479.06,asset
5262,Salary Expense,82663.81,expense
5263,Inventory,invalid,asset
5264,Sales Revenue,5555.57,income
5265,Accounts Payable,97187.35,liability
5266,Inventory,51310.26,asset
5267,Service Income,29158.6,income
5268,Equipment,invalid,asset
5269,Loan Payable,85799.99,liability
5270,Marketing Expense,30559.82,expense
5271,Accrued Expenses,19348.37,liability
5272,Accrued Expenses,12994.22,liability
5273,Sales Revenue,29856.15,income
5274,Equipment,78026.8,asset
5275,Salary Expense,47215.47,expense
5276,Salary Expense,22825.41,expense
5277,Loan Payable,16701.88,liability
5278,Service Income,33339.67,income
5279,Inventory,93998.44,asset
5280,Utility Expense,34368.37,expense
5281,Cash,,asset
5282,Interest Income,48574.52,income
5283,Prepaid Expense,17998.48,asset
5284,Sales Revenue,89124.9,income
5285,Loan Payable,46089.5,liability
5286,Service Income,70996.17,income
5287,Service Income,98372.79,income
5288,Loan Payable,5112.52,liability
5289,Tax Payable,,liability
5290,Inventory,72073.63,asset
5291,Accounts Payable,28254.32,liability
5292,Salary Expense,18511.71,expense
5293,Utility Expense,4032.25,expense
5294,Service Income,2282.49,income
5295,Equipment,77471.11,asset
5296,,13529.9,income
5297,Equipment,46825.29,asset
5298,Tax Payable,60629.09,liability
5299,Service Income,42892.34,income
5300,Cash,2807.95,asset
5301,Utility Expense,78371.8,expense
5302,Service Income,1150.27,income
5303,Accounts Receivable,76212.8,asset
5304,Salary Expense,89341.12,expense
5305,Marketing Expense,43340.71,expense
5306,Interest Income,53600.69,income
5307,Interest Income,47750.64,income
5308,Accounts Payable,38981.94,liability
5309,Marketing Expense,88753.71,expense
5310,Loan Payable,89403.96,liability
5311,Interest Income,33648.05,income
5312,Interest Income,61545.47,income
5313,Salary Expense,92698.07,expense
5314,Accounts Payable,96209.64,liability
5315,Loan Payable,50945.01,liability
5316,Salary Expense,45337.2,expense
5317,Inventory,27941.56,asset
5318,Inventory,,asset
5319,Inventory,14367.15,asset
5320,Interest Income,58024.97,income
5321,Utility Expense,invalid,expense
5322,Rent Expense,27972.93,expense
5323,Salary Expense,40556.36,expense
5324,Tax Payable,99879.41,liability
5325,Sales Revenue,5591.13,income
5326,Salary Expense,57896.33,expense
5327,Service Income,8348.96,income
5328,Service Income,15536.63,income
5329,Cash,44012.34,asset
5330,Marketing Expense,51094.97,expense
5331,Accounts Payable,25953.36,liability
5332,Sales Revenue,31714.07,income
5333,Salary Expense,8788.01,expense
5334,Sales Revenue,30391.66,income
5335,Rent Expense,96659.19,expense
5336,Cash,94476.27,asset
5337,Utility Expense,33554.34,expense
5338,Loan Payable,57128.31,liability
5339,Salary Expense,90968.58,expense
5340,Marketing Expense,717.76,expense
5341,Sales Revenue,81087.29,income
5342,Equipment,94842.12,asset
5343,Utility Expense,9223.44,expense
5344,Equipment,16228.62,asset
5345,Prepaid Expense,96078.56,asset
5346,Rent Expense,53800.26,expense
5347,Tax Payable,1518.24,liability
5348,Accounts Payable,25837.44,liability
5349,Salary Expense,45049.37,expense
5350,Sales Revenue,69321.6,income
5351,Loan Payable,73342.72,liability
5352,Interest Income,99542.61,income
5353,Utility Expense,28822.37,expense
5354,Salary Expense,53868.19,expense
5355,Marketing Expense,53379.02,expense
5356,Accounts Payable,40623.96,liability
5357,Salary Expense,16999.27,expense
5358,Tax Payable,97747.91,liability
5359,Equipment,85346.39,asset
5360,Marketing Expense,49883.47,expense
5361,Prepaid Expense,60364.22,asset
5362,Sales Revenue,22803.38,income
5363,Tax Payable,54424.33,liability
5364,Tax Payable,69527.52,liability
5365,Interest Income,51565.19,income
5366,Tax Payable,99029.49,liability
5367,Accounts Payable,61173.03,liability
5368,Interest Income,37160.27,income
5369,Marketing Expense,77237.99,expense
5370,,17129.2,expense
5371,Cash,38513.13,asset
5372,Rent Expense,34761.2,expense
5373,Tax Payable,43237.53,liability
5374,Tax Payable,78199.8,liability
5375,Accounts Payable,48468.89,liability
5376,Service Income,,income
5377,Sales Revenue,57691.24,income
5378,Inventory,34272.74,asset
5379,Service Income,81016.88,income
5380,Accrued Expenses,23905.14,liability
5381,Sales Revenue,22515.86,income
5382,Utility Expense,50499.84,expense
5383,Utility Expense,26158.84,expense
5384,Accounts Payable,1007.79,liability
5385,Interest Income,,income
5386,Equipment,51158.27,asset
5387,Salary Expense,44607.23,expense
5388,Service Income,96700.15,income
5389,Marketing Expense,57162.8,expense
5390,Utility Expense,86356.81,expense
5391,Interest Income,14031.08,income
5392,Interest Income,56963.73,income
5393,Interest Income,86811.16,income
5394,Marketing Expense,58352.27,expense
5395,Cash,71829.62,asset
5396,Interest Income,37267.15,income
5397,Rent Expense,9335.71,expense
5398,Marketing Expense,45844.24,expense
5399,Cash,39508.49,asset
5400,Interest Income,invalid,income
5401,Service Income,24475.13,income
5402,Accounts Payable,96676.75,liability
5403,Service Income,95818.0,income
5404,Inventory,24838.4,asset
5405,Utility Expense,34870.39,expense
5406,Accrued Expenses,89566.02,liability
5407,Accounts Payable,96665.56,liability
5408,Service Income,44399.57,income
5409,Sales Revenue,32167.6,income
5410,Accounts Payable,52656.79,liability
5411,Accounts Receivable,68808.14,asset
5412,,27420.1,expense
5413,Salary Expense,73673.67,expense
5414,Rent Expense,5260.57,expense
5415,Service Income,5024.52,income
5416,Accounts Receivable,38690.14,asset
5417,Rent Expense,35411.97,expense
5418,Salary Expense,31631.76,expense
5419,Accounts Receivable,49152.87,asset
5420,Service Income,32141.28,income
5421,Interest Income,19306.57,income
5422,Accounts Payable,31016.01,liability
5423,Sales Revenue,97492.94,income
5424,Marketing Expense,41170.23,expense
5425,Interest Income,44526.81,income
5426,Inventory,57696.84,asset
5427,Accounts Payable,98335.74,liability
5428,Equipment,24235.97,asset
5429,Accounts Payable,68160.08,liability
5430,Equipment,71626.87,asset
5431,Accounts Receivable,60771.71,asset
5432,Equipment,8948.98,asset
5433,Salary Expense,67719.54,expense
5434,Inventory,6503.06,asset
5435,Marketing Expense,59654.65,expense
5436,Accrued Expenses,73984.16,liability
5437,Tax Payable,21175.89,liability
5438,Cash,84178.04,asset
5439,Rent Expense,3132.35,expense
5440,Accrued Expenses,84396.91,liability
5441,Interest Income,46086.87,income
5442,Sales Revenue,21837.04,income
5443,Rent Expense,13464.44,expense
5444,Cash,95335.39,asset
5445,Utility Expense,7359.29,expense
5446,Tax Payable,19989.43,liability
5447,Salary Expense,34847.45,expense
5448,Rent Expense,62061.46,expense
5449,Salary Expense,54525.63,expense
5450,Interest Income,12651.78,income
5451,Equipment,29043.83,asset
5452,Accounts Payable,23951.3,liability
5453,Service Income,21432.93,income
5454,Utility Expense,41173.32,expense
5455,Cash,70432.74,asset
5456,Interest Income,21823.55,income
5457,Prepaid Expense,36731.22,asset
5458,Accounts Payable,39152.65,liability
5459,Salary Expense,97648.01,expense
5460,Utility Expense,95471.17,expense
5461,Tax Payable,80033.74,liability
5462,Loan Payable,24241.73,liability
5463,Marketing Expense,6896.93,expense
5464,Sales Revenue,31758.72,income
5465,Equipment,26752.78,asset
5466,Marketing Expense,50641.99,expense
5467,Sales Revenue,77795.02,income
5468,Prepaid Expense,85846.46,asset
5469,Service Income,84501.92,income
5470,Accounts Receivable,36031.59,asset
5471,Rent Expense,68754.71,expense
5472,Accounts Payable,31352.14,liability
5473,Interest Income,6184.46,income
5474,Prepaid Expense,70186.37,asset
5475,Equipment,1081.77,asset
5476,Sales Revenue,40977.34,income
5477,Rent Expense,33004.99,expense
5478,Inventory,69368.42,asset
5479,Rent Expense,76647.92,expense
5480,Service Income,30479.05,income
5481,Rent Expense,81181.54,expense
5482,Interest Income,29462.28,income
5483,Tax Payable,invalid,liability
5484,Salary Expense,72729.15,expense
5485,Service Income,69322.73,income
5486,Interest Income,98738.11,income
5487,Accrued Expenses,22593.59,liability
5488,Accounts Payable,66265.56,liability
5489,Sales Revenue,,income
5490,Tax Payable,91518.34,liability
5491,Service Income,15720.58,income
5492,Utility Expense,75204.64,expense
5493,Sales Revenue,56870.03,income
5494,Rent Expense,27539.12,expense
5495,Tax Payable,47496.05,liability
5496,Service Income,33444.28,income
5497,Accounts Receivable,57973.41,asset
5498,Accounts Receivable,88911.16,asset
5499,Service Income,56973.57,income
5500,Interest Income,63209.07,income
5501,Sales Revenue,51922.91,income
5502,Rent Expense,5211.43,expense
5503,Salary Expense,23362.57,expense
5504,Accounts Payable,49250.97,liability
5505,Utility Expense,31092.5,expense
5506,Inventory,18258.18,asset
5507,Rent Expense,50462.87,expense
5508,Sales Revenue,32348.7,income
5509,Tax Payable,25884.95,liability
5510,Service Income,46452.14,income
5511,Sales Revenue,13415.1,income
5512,Utility Expense,92781.8,expense
5513,Cash,86783.44,asset
5514,Marketing Expense,70791.3,expense
5515,Accrued Expenses,10710.76,liability
5516,Accrued Expenses,77610.14,liability
5517,Loan Payable,80814.94,liability
5518,Cash,76799.69,asset
5519,Tax Payable,11485.19,liability
5520,Interest Income,64426.4,income
5521,Service Income,83449.05,income
5522,Sales Revenue,57777.6,income
5523,Interest Income,64676.1,income
5524,Utility Expense,45890.51,expense
5525,Tax Payable,52917.86,liability
5526,Loan Payable,3534.25,liability
5527,Marketing Expense,63932.41,expense
5528,Sales Revenue,8236.58,income
5529,Rent Expense,43557.96,expense
5530,Tax Payable,29336.24,liability
5531,Interest Income,54588.25,income
5532,Sales Revenue,13428.29,income
5533,Equipment,69195.18,asset
5534,Rent Expense,79521.65,expense
5535,Sales Revenue,16419.11,income
5536,Utility Expense,10520.88,expense
5537,Accrued Expenses,14637.0,liability
5538,Accounts Payable,87725.04,liability
5539,Tax Payable,52866.11,liability
5540,Rent Expense,46779.37,expense
5541,Tax Payable,10760.51,liability
5542,Accrued Expenses,64990.65,liability
5543,Inventory,86813.16,asset
5544,Sales Revenue,82835.77,income
5545,Loan Payable,62642.87,liability
5546,Cash,7620.34,asset
5547,Accrued Expenses,,liability
5548,Accrued Expenses,5025.97,liability
5549,Loan Payable,25822.17,liability
5550,Sales Revenue,13652.58,income
5551,Sales Revenue,26078.8,income
5552,Rent Expense,38567.3,expense
5553,Prepaid Expense,94303.98,asset
5554,Service Income,61076.57,income
5555,Rent Expense,83513.88,expense
5556,Inventory,71064.11,asset
5557,Cash,11339.06,asset
5558,Interest Income,73618.45,income
5559,Prepaid Expense,27582.38,asset
5560,Equipment,63946.87,asset
5561,Salary Expense,34162.1,expense
5562,Rent Expense,99767.46,expense
5563,Rent Expense,26428.79,expense
5564,Accrued Expenses,27985.13,liability
5565,Service Income,93074.16,income
5566,Inventory,2561.98,asset
5567,Service Income,69699.23,income
5568,Accounts Payable,72560.11,liability
5569,Sales Revenue,83654.22,income
5570,Service Income,97446.49,income
5571,Service Income,97562.63,income
5572,Utility Expense,6621.15,expense
5573,Salary Expense,82201.75,expense
5574,Loan Payable,64666.36,liability
5575,Service Income,64769.48,income
5576,Salary Expense,12922.16,expense
5577,Interest Income,65053.7,income
5578,Sales Revenue,98250.01,income
5579,Marketing Expense,91190.68,expense
5580,Sales Revenue,43969.15,income
5581,Accrued Expenses,4090.8,liability
5582,Accrued Expenses,36293.12,liability
5583,Interest Income,82656.39,income
5584,Interest Income,70179.76,income
5585,Accrued Expenses,45988.43,liability
5586,Marketing Expense,5604.64,expense
5587,Cash,42746.78,asset
5588,Equipment,46955.59,asset
